K,MSE,ITERATIONS,EXECUTION TIME
2,3379.5090134276493,867,215.99336576461792
3,3057.342020843128,1508,358.67595314979553
4,2860.4599145451366,2205,512.2199308872223
5,2724.807884114661,1794,417.8144528865814
6,2602.5872496248426,1750,408.22283720970154
7,2545.1003007249674,2126,496.9191823005676
8,2508.1463635909904,2307,542.8226044178009
9,2472.146674314068,2731,636.5687386989594
10,2447.345449681535,3060,713.7379958629608
11,2433.144744707839,2872,668.9066240787506
12,2419.354624348691,3198,736.3917109966278
13,2407.564356032267,3362,772.1777918338776
14,2394.313827339488,3528,804.0852813720703
15,2383.124938765949,3492,797.6966586112976
16,2374.0617725712846,3472,792.1441493034363
17,2363.522724703002,3868,880.1296758651733
18,2354.8371961269318,3592,818.8836326599121
19,2345.5515877490598,3460,790.2931962013245
20,2338.762855358851,3565,813.0488038063049
21,2330.601680904983,3805,886.4311764240265
22,2323.6529114139807,3741,877.5309724807739
23,2313.428580053916,3737,925.0908434391022
24,2309.7559730907487,3723,920.0200042724609
25,2302.1542730668407,3822,934.6867065429688
26,2295.9116405246514,3562,876.9333295822144
27,2288.296777430477,3602,887.9427807331085
28,2284.512660781395,3647,912.224415063858
29,2277.280652901191,3664,896.7987406253815
30,2270.783098409259,3719,903.4941365718842
31,2264.535825669135,3436,839.2825133800507
32,2259.0146690195456,3389,826.0253808498383
33,2255.5020570310617,3532,858.4421648979187
34,2249.0479847588776,3284,801.3894786834717
35,2245.170229308628,3395,827.495362997055
36,2240.8384805094624,3542,860.0313830375671
37,2235.4754390880926,3503,850.6135022640228
38,2231.082218433785,3497,849.606942653656
39,2227.521928281574,3398,824.8978843688965
40,2220.9128078861067,3448,837.3399498462677
41,2218.297713421465,3340,811.0871725082397
42,2213.037159056212,3187,776.0827438831329
43,2209.8469835397937,3161,769.5487329959869
44,2205.5570187988433,3202,778.4395771026611
45,2201.431489083071,3129,762.4383821487427
46,2196.3221108737985,3140,763.8457052707672
47,2192.3693007629618,3241,785.9424817562103
48,2186.377034785796,3225,781.6280896663666
49,2185.7795662108038,3260,788.216774225235
50,2182.07884485548,3232,778.8113629817963
