K,MSE,ITERATIONS,EXECUTION TIME
2,2.7326598983634653e-08,1274,342.1724660396576
3,2.1411091122303105e-08,1546,377.2898232936859
4,1.8613360963648518e-08,2350,556.249514579773
5,1.7005277741510838e-08,1626,394.3992385864258
6,1.573080077310607e-08,1739,422.2161531448364
7,1.5147285647998388e-08,1575,388.0975544452667
8,1.4812222226545657e-08,1914,466.62138056755066
9,1.4486311594730239e-08,2526,612.5992114543915
10,1.4267816039748027e-08,2673,649.4712717533112
11,1.4147856330914976e-08,2854,693.64914894104
12,1.4028447625769047e-08,2609,637.3662276268005
13,1.3920834374125945e-08,2534,621.0661065578461
14,1.3819567490358509e-08,2496,613.4825756549835
15,1.3723862712922141e-08,2366,581.9330015182495
16,1.3635075957196818e-08,2443,599.4160153865814
17,1.3551542332734812e-08,2200,543.5026977062225
18,1.3473432480815006e-08,2059,509.4129250049591
19,1.3402259968486874e-08,1901,471.0326132774353
20,1.3334980120127682e-08,1905,473.2827832698822
21,1.3269269016902285e-08,1955,484.1841106414795
22,1.3204512261388857e-08,1795,447.2642345428467
23,1.3142263388665754e-08,1995,496.06492257118225
24,1.3083619965215121e-08,1858,464.06442379951477
25,1.3026564160689702e-08,1746,437.85597348213196
26,1.297286300605549e-08,1641,413.2704966068268
27,1.29221293665438e-08,1575,398.5236973762512
28,1.2873121124634679e-08,1405,359.07593727111816
29,1.2825494444257401e-08,1530,388.05022525787354
30,1.2778371361044094e-08,1533,389.40829491615295
31,1.2734204801745364e-08,1494,380.6817762851715
32,1.2690273942794761e-08,1524,387.0165274143219
33,1.2646573788188675e-08,1490,379.6675477027893
34,1.26059443994464e-08,1244,320.7842426300049
35,1.2564360107880646e-08,1471,375.21588611602783
36,1.2523197256975038e-08,1363,349.4650309085846
37,1.2484625444564301e-08,1435,367.38791370391846
38,1.2444185015780818e-08,1312,337.3187005519867
39,1.2406373595119646e-08,1355,346.67807626724243
40,1.2369534951872652e-08,1299,334.967312335968
41,1.233385105159357e-08,1242,320.86049795150757
42,1.2298867924087631e-08,1176,304.5157775878906
43,1.2265093940477811e-08,1194,309.1046230792999
44,1.2230626511566811e-08,1082,283.3841426372528
45,1.2196433085698288e-08,1221,316.938894033432
46,1.2165610518977132e-08,939,248.34706139564514
47,1.2132288729205243e-08,1047,274.29323387145996
48,1.2100176083329472e-08,1059,277.6017291545868
49,1.206913546880628e-08,1006,264.4624307155609
50,1.2040244024014157e-08,888,237.06705164909363
