K,MSE,ITERATIONS,EXECUTION TIME
2,2.7326598983634653e-08,1102,329.9763822555542
3,2.1411091122303105e-08,1473,426.99846863746643
4,1.8613360963648518e-08,1911,553.8026165962219
5,1.7005277741510838e-08,1823,553.785486459732
6,1.573080077310607e-08,1773,562.9246768951416
7,1.5147334719856076e-08,1814,584.2533903121948
8,1.481246036938444e-08,2170,696.6484699249268
9,1.4486775778976835e-08,2400,781.11012840271
10,1.4268064951750148e-08,2672,863.6012408733368
11,1.4148672011771168e-08,3258,1016.250815153122
12,1.4028559314205324e-08,3466,1087.643613576889
13,1.3922822894585352e-08,3521,1123.5777730941772
14,1.3823437727822352e-08,3701,1186.36093211174
15,1.373890390343746e-08,3808,1243.193557024002
16,1.3642088014798048e-08,3761,1235.8692231178284
17,1.3555275013565904e-08,3840,1285.4996631145477
18,1.3484778071948256e-08,3970,1337.0941178798676
19,1.3418766875439303e-08,4185,1402.8907742500305
20,1.3353653516290365e-08,3896,1354.1673913002014
21,1.3288440126046908e-08,4192,1446.9129672050476
22,1.3227299033857776e-08,3863,1384.6268227100372
23,1.3159475176216517e-08,3996,1435.553635597229
24,1.3097847695320297e-08,4058,1472.7471590042114
25,1.3052943059754796e-08,4106,1509.3572442531586
26,1.3007704358081185e-08,4224,1555.3676986694336
27,1.2936278492858833e-08,3859,1489.37766289711
28,1.290277396037709e-08,4046,1535.5943076610565
29,1.2868054177772592e-08,3955,1535.5852694511414
30,1.2807620075605541e-08,3907,1546.2278110980988
31,1.2767372825628343e-08,3752,1530.4375195503235
32,1.272075444980203e-08,3834,1573.7634780406952
33,1.2681943939440998e-08,4054,1649.8224229812622
34,1.2645659408505594e-08,3779,1598.7022137641907
35,1.2600394061479392e-08,3743,1613.7925233840942
36,1.2565730123093033e-08,3645,1612.4935977458954
37,1.2522550663085497e-08,3844,1676.3596694469452
38,1.2490412593102462e-08,3995,1726.03808426857
39,1.2461278120490249e-08,3956,1736.5949387550354
40,1.241076907909644e-08,3675,1716.041077375412
41,1.2382039726865912e-08,3658,1725.8592920303345
42,1.2339364308111556e-08,3565,1748.5397908687592
43,1.231838064885693e-08,3679,1778.1379752159119
44,1.2296344387152658e-08,3558,1756.0711579322815
45,1.2264832705000117e-08,3766,1821.6061038970947
46,1.222029977210326e-08,3455,1784.2243435382843
47,1.2196225585014986e-08,3643,1870.0674288272858
48,1.2159916851217645e-08,3542,1836.1262402534485
49,1.2148757444485625e-08,3489,1837.0483491420746
50,1.2108227642748659e-08,3472,1853.0183067321777
