K,MSE,ITERATIONS,EXECUTION TIME
2,2.7326598983634653e-08,1093,280.21641516685486
3,2.1411091122303105e-08,1451,353.2498028278351
4,1.8613360963648518e-08,2087,497.64949440956116
5,1.7005277741510838e-08,1823,442.0539243221283
6,1.573080077310607e-08,1716,420.83136320114136
7,1.51475116894062e-08,1834,450.33625650405884
8,1.481246036938444e-08,2292,560.2268807888031
9,1.4486935540070078e-08,2727,661.7250113487244
10,1.4267980907867184e-08,2891,702.4738173484802
11,1.4148150762061107e-08,3294,796.6115424633026
12,1.4029215011923668e-08,3171,771.0467183589935
13,1.392547654965881e-08,3629,879.9114770889282
14,1.382167214014629e-08,3731,922.1496822834015
15,1.373912072999417e-08,3782,937.8984317779541
16,1.3639560259015582e-08,3769,919.0807061195374
17,1.3572990620325243e-08,3885,954.5047976970673
18,1.3500768392127327e-08,3847,945.2643141746521
19,1.3419952815674208e-08,3982,989.3495500087738
20,1.3359161110670925e-08,3933,967.2221503257751
21,1.3293108724887759e-08,4213,1038.4630205631256
22,1.323029019673072e-08,4061,993.6350038051605
23,1.317123432542644e-08,4132,1010.3957345485687
24,1.3105952656466968e-08,4110,1006.2598240375519
25,1.3058646719521505e-08,3878,951.3442494869232
26,1.3003327414828902e-08,4124,1009.3776354789734
27,1.2962105389036083e-08,4010,984.2086448669434
28,1.2908786373166947e-08,3900,958.5493140220642
29,1.2859047382463018e-08,4082,1000.8103137016296
30,1.2817678585186343e-08,4038,990.9773459434509
31,1.2764035273171714e-08,3949,971.7833824157715
32,1.273452743255632e-08,3817,940.6358885765076
33,1.2692712880735257e-08,4119,1015.8909714221954
34,1.2645343439032786e-08,3865,973.1372790336609
35,1.260997140040132e-08,3753,937.5549898147583
36,1.2565731233316058e-08,3852,965.8502540588379
37,1.2521250480901358e-08,3844,955.5733008384705
38,1.2488519329778569e-08,3726,920.7645144462585
39,1.2455865672222899e-08,3886,969.524730682373
40,1.2429353435372548e-08,3724,934.130820274353
41,1.2389304471227547e-08,3669,907.7047243118286
42,1.2361005996552876e-08,3609,893.8214173316956
43,1.233168878123081e-08,3790,938.9043781757355
44,1.2284507300286407e-08,3692,917.0191984176636
45,1.2238335789227506e-08,3639,925.0952773094177
46,1.2213468902899649e-08,3634,909.4700255393982
47,1.2203370869379171e-08,3697,930.7996833324432
48,1.2177484687292406e-08,3497,893.851550579071
49,1.2141755822980826e-08,3508,894.0956456661224
50,1.2096615709111802e-08,3589,918.0482594966888
