K,MSE,ITERATIONS,EXECUTION TIME
2,2.7326598983634653e-08,1277,330.13313364982605
3,2.1411091122303105e-08,1453,355.1834375858307
4,1.8613360963648518e-08,2229,530.382306098938
5,1.7005665653435642e-08,1537,374.87478256225586
6,1.573080077310607e-08,1672,409.73820185661316
7,1.5147293974671072e-08,1583,391.61277174949646
8,1.4812230553218342e-08,1966,483.9741714000702
9,1.4486319921402924e-08,2491,609.0862183570862
10,1.4267750203522667e-08,2766,675.0291361808777
11,1.4148293647764376e-08,2704,663.1409101486206
12,1.402911864456513e-08,2840,696.9550633430481
13,1.3920952945944975e-08,2534,624.7519967556
14,1.3819467681308595e-08,2392,592.4524788856506
15,1.3724284042559987e-08,2332,578.4565558433533
16,1.3636629825342084e-08,2198,545.5264675617218
17,1.3553767885809975e-08,2188,543.9753141403198
18,1.3474993343365327e-08,1838,459.0426766872406
19,1.3402353338243245e-08,2009,499.39695858955383
20,1.3333877002530414e-08,1847,462.1554925441742
21,1.3267175691389355e-08,1654,415.35736179351807
22,1.3202565818382084e-08,1912,477.485591173172
23,1.3140216248430647e-08,1747,438.32695055007935
24,1.3081689509419903e-08,1694,426.153689622879
25,1.302950181081286e-08,1594,401.69297552108765
26,1.2976864360858542e-08,1682,422.6198945045471
27,1.292524742790846e-08,1571,396.22562313079834
28,1.2875141619517194e-08,1476,374.1749222278595
29,1.28267657606429e-08,1598,403.9557750225067
30,1.2779425406783673e-08,1601,406.36842608451843
31,1.2732304099927205e-08,1550,404.6020133495331
32,1.2688391781701114e-08,1556,403.6100163459778
33,1.2645154479073994e-08,1463,375.60556197166443
34,1.2603937782351693e-08,1383,355.34866523742676
35,1.2561561124613263e-08,1305,335.2069387435913
36,1.2519601688687487e-08,1406,360.6991262435913
37,1.248014036558942e-08,1515,386.8531799316406
38,1.2441582541988794e-08,1212,314.96326518058777
39,1.240208480357552e-08,1230,319.6658866405487
40,1.2360184098447746e-08,1305,344.71244406700134
41,1.2323168818717534e-08,1381,370.8092544078827
42,1.2288768003188011e-08,1272,342.58399963378906
43,1.2255890413648274e-08,1096,297.71399974823
44,1.222266132749894e-08,1119,296.5393261909485
45,1.2192541976041582e-08,1130,295.19599986076355
46,1.2160261686489093e-08,1028,270.04599952697754
47,1.2130744964089502e-08,1027,270.0160000324249
48,1.2101667334896149e-08,957,253.56499981880188
49,1.2072525978901183e-08,1155,300.4295070171356
50,1.204356148143404e-08,968,254.57899951934814
