K,MSE,ITERATIONS,EXECUTION TIME
2,2779.344641423893,1057,285.8197731971741
3,2440.386735800379,1516,385.2901210784912
4,2245.1509648931574,2355,583.5796701908112
5,2116.3739490953863,1492,381.9385087490082
6,2004.7758575477555,1678,430.3676733970642
7,1952.7508251079719,1685,435.40748834609985
8,1920.403540660876,1933,499.6896345615387
9,1888.8848132909957,2215,572.9453017711639
10,1867.3557544053601,2461,638.6447632312775
11,1855.0650502746016,2249,582.7332081794739
12,1843.0252247714975,2064,505.05800008773804
13,1831.9241189180327,1911,476.19950675964355
14,1821.6013351204115,1896,473.5130000114441
15,1811.8732856909028,1760,430.34394550323486
16,1802.8327712811576,1665,407.7958986759186
17,1794.1509006443907,1644,403.36387634277344
18,1786.0815728917073,1613,395.49900484085083
19,1778.4961964958757,1367,342.0313334465027
20,1771.4964794581265,1627,409.7551620006561
21,1764.6159253178157,1461,370.7135214805603
22,1757.9870414368033,1310,334.8469979763031
23,1751.8529532353618,1347,347.42654371261597
24,1745.8068510975584,1038,273.66265749931335
25,1739.7612146755457,1150,301.3800206184387
26,1733.938314576703,1204,314.5904703140259
27,1728.259281874996,1099,280.99419593811035
28,1722.9425252891242,1105,294.23919653892517
29,1717.436196986484,982,267.5049362182617
30,1712.5032122330904,908,249.64263606071472
31,1707.4338831225227,1064,285.7139313220978
32,1702.6505211938456,1083,292.24314880371094
33,1698.0238587575973,958,260.17300152778625
34,1693.6601172564033,1012,273.6442837715149
35,1689.392755245135,966,254.24191737174988
36,1685.1651742481681,1017,259.17687797546387
37,1680.9323296526084,848,220.06402397155762
38,1676.7933418294008,728,192.17521357536316
39,1672.7554880100408,669,175.79851770401
40,1669.1071540370065,727,185.72303318977356
41,1665.023787844611,749,190.76696372032166
42,1661.426986118358,777,196.79674816131592
43,1657.6810177824775,748,190.79142379760742
44,1654.3622355152638,627,166.79204535484314
45,1650.9762343403943,570,155.59394574165344
46,1647.7023542719812,589,160.7226836681366
47,1644.4108205950831,732,189.72826719284058
48,1640.7894860176202,614,162.83984303474426
49,1637.6000499078837,651,171.08574604988098
50,1634.423739405559,528,143.5613088607788
