K,MSE,ITERATIONS,EXECUTION TIME
2,2779.344641423893,870,273.0169928073883
3,2440.386735800379,1220,373.0022225379944
4,2245.1510520897737,3304,877.2656314373016
5,2116.3739490953863,2082,610.1653070449829
6,2004.7754902274723,1731,530.4829113483429
7,1952.7634800518338,1951,586.9130799770355
8,1920.4039514124825,2185,666.3776996135712
9,1888.8874639317046,2715,848.5927801132202
10,1867.3566662492253,2835,911.1798257827759
11,1855.2306139572543,2940,1007.8708384037018
12,1843.0106852239812,3292,1143.7114465236664
13,1832.3513084778633,3424,1204.5055429935455
14,1822.953514782775,3794,1354.3846762180328
15,1812.3846824257207,3712,1342.0899295806885
16,1803.2237512012784,3808,1394.0781865119934
17,1795.1620863507596,3728,1400.4928307533264
18,1788.292986504031,3743,1429.7913370132446
19,1781.5224046457736,3794,1465.431562423706
20,1773.7054676857051,3803,1494.4970066547394
21,1767.9122136338385,3983,1558.645740032196
22,1760.1962170313654,3948,1583.4256286621094
23,1753.1982515861173,3776,1555.4351553916931
24,1748.4356372890618,3765,1579.1975147724152
25,1742.7062792800386,3957,1654.4650366306305
26,1735.958004057115,3652,1597.6472806930542
27,1732.7316612619563,3919,1690.4004244804382
28,1727.1657370858097,3968,1726.1284770965576
29,1722.8999887698283,3805,1700.0632412433624
30,1717.5055198596242,3534,1664.3165962696075
31,1711.2033898992438,3548,1699.14062333107
32,1708.1401226639025,3534,1716.2724249362946
33,1703.4039235827563,3652,1660.8643338680267
34,1699.1559465764494,3560,1603.6795613765717
35,1695.006137690039,3647,1601.9924023151398
36,1691.4037872615886,3618,1578.692097902298
37,1686.6663719277242,3725,1598.0274548530579
38,1682.6552350418638,3503,1565.4473481178284
39,1679.2035481747264,3393,1561.7549903392792
40,1675.585650793988,3374,1602.6414287090302
41,1672.109336291315,3476,1623.5889568328857
42,1668.789755204841,3378,1620.3617782592773
43,1664.3318043391469,3443,1652.7340922355652
44,1661.0893198022036,3372,1655.6095972061157
45,1656.9132864270462,3319,1666.2321512699127
46,1653.320233559066,3325,1687.6580562591553
47,1650.8827209961858,3368,1717.6209983825684
48,1648.3732344334258,3313,1725.3957421779633
49,1644.9225013160096,3225,1725.5392127037048
50,1642.8291410663605,3245,1755.286063194275
