K,MSE,ITERATIONS,EXECUTION TIME
2,20.197268111437285,1553,0.17620158195495605
3,16.075519725432255,1369,0.16190171241760254
4,14.568328539357811,1520,0.19152092933654785
5,13.49967576755354,1094,0.157393217086792
6,12.654124927903489,1094,0.18237996101379395
7,11.925674566288603,907,0.17034578323364258
8,11.215726400332406,866,0.17246747016906738
9,10.573294943559993,750,0.1683797836303711
10,10.078467531997472,737,0.1768050193786621
11,9.684009405056148,675,0.1802377700805664
12,9.340573441036486,618,0.18482112884521484
13,9.018155859154408,600,0.19149327278137207
14,8.718102873512795,579,0.19047927856445312
15,8.420349457952478,538,0.20067286491394043
16,8.150557192350142,467,0.18124008178710938
17,7.886167725494038,440,0.18854713439941406
18,7.641130827766735,412,0.17995524406433105
19,7.426314695433499,411,0.19362854957580566
20,7.221119404301744,409,0.19977545738220215
21,7.026750586965785,407,0.19922113418579102
22,6.846259102782219,405,0.2157430648803711
23,6.669863463769171,401,0.21570658683776855
24,6.506845534343058,391,0.21790051460266113
25,6.339779390938656,378,0.22757434844970703
26,6.18438490740583,344,0.21332645416259766
27,6.0431474505055585,337,0.20823144912719727
28,5.903898117437052,337,0.2328031063079834
29,5.768756512825851,302,0.21559906005859375
30,5.64982489901304,299,0.21802330017089844
31,5.535111703060123,299,0.2283954620361328
32,5.420780278906664,292,0.22706890106201172
33,5.308402528197414,292,0.245802640914917
34,5.1993471370120545,291,0.2456812858581543
35,5.089661319967069,287,0.24446702003479004
36,4.9817695938805056,283,0.2442317008972168
37,4.8855785858086795,279,0.23837590217590332
38,4.791554753130914,272,0.2590000629425049
39,4.703463855260873,268,0.25005030632019043
40,4.614771697435986,249,0.25250744819641113
41,4.531832152651683,229,0.23883318901062012
42,4.450911844255193,227,0.25008082389831543
43,4.371702026890517,225,0.2510826587677002
44,4.2936569659988235,223,0.2583591938018799
45,4.21801352641651,222,0.2571139335632324
46,4.142963357684181,221,0.2587428092956543
47,4.069571524833954,219,0.26469969749450684
48,3.9965111992028315,217,0.26053476333618164
49,3.9242574914655184,215,0.27513933181762695
50,3.8523878419404016,214,0.25853896141052246
