K,MSE,ITERATIONS,EXECUTION TIME
2,20.197268111437285,593,0.15397858619689941
3,16.075519725432255,583,0.1999979019165039
4,14.57083359995932,783,0.2799384593963623
5,13.501662801964041,815,0.34538865089416504
6,12.685141590430211,785,0.4031391143798828
7,11.953445149101697,802,0.4399137496948242
8,11.32991779334113,761,0.4949629306793213
9,10.652738296611904,744,0.56015944480896
10,10.245469753230765,779,0.6249685287475586
11,9.821535630221813,769,0.6713361740112305
12,9.42404418420321,763,0.7146306037902832
13,9.131200820803365,720,0.7664687633514404
14,8.865376821210084,736,0.8273532390594482
15,8.619331176260951,684,0.8609182834625244
16,8.36719597456358,707,0.9340620040893555
17,8.071283171520287,663,0.9699075222015381
18,7.884596290192437,675,1.0437726974487305
19,7.7787175520807,684,1.1061172485351562
20,7.529132024849533,611,1.1204066276550293
21,7.34992055457154,610,1.1901869773864746
22,7.156511547358027,625,1.3008885383605957
23,6.917779412298012,626,1.3385608196258545
24,6.850656881808273,585,1.3613102436065674
25,6.653316973419134,579,1.3989393711090088
26,6.635684588418401,570,1.4399645328521729
27,6.242438135412443,578,1.5101795196533203
28,6.288288010551687,547,1.5505695343017578
29,6.0328823431413525,554,1.6292445659637451
30,6.094263772696541,551,1.6499614715576172
31,5.785921056849251,550,1.7536847591400146
32,5.764702631250991,536,1.7862823009490967
33,5.714759016796547,529,1.8597667217254639
34,5.564297196336714,509,1.8903777599334717
35,5.502372075768371,521,1.9649136066436768
36,5.284824697692262,453,1.979663372039795
37,5.225240899950917,483,2.0552806854248047
38,5.161732358567566,459,2.0700535774230957
39,5.136118815707193,471,2.14501953125
40,4.949763068030364,432,2.165435552597046
41,4.796969680080708,460,2.2147488594055176
42,4.834115300930058,451,2.299942970275879
43,4.6729986269788295,429,2.29976487159729
44,4.556430629319678,441,2.3968665599823
45,4.474279718365992,411,2.4430196285247803
46,4.489903673235224,409,2.482046127319336
47,4.433850978556844,406,2.5533463954925537
48,4.307423043048279,390,2.5695934295654297
49,4.2778424180641625,404,2.61505126953125
50,4.19208290491351,399,2.6758503913879395
