K,MSE,ITERATIONS,EXECUTION TIME
2,168.4429303507572,381,0.06463885307312012
3,165.12001695417862,484,0.07256126403808594
4,163.33611090396317,374,0.08310079574584961
5,161.95503532577922,342,0.08276581764221191
6,160.59473041196298,283,0.08492231369018555
7,158.97713272073491,247,0.10004663467407227
8,157.76064552531597,199,0.09091424942016602
9,155.96979886165434,194,0.10043907165527344
10,155.09356413118468,171,0.1098179817199707
11,153.65949717595572,141,0.11258435249328613
12,152.36388187733883,144,0.12055468559265137
13,151.09891595835546,125,0.12428021430969238
14,149.9891446384379,118,0.13141918182373047
15,148.9781199759015,123,0.13481640815734863
16,147.69252732538297,114,0.15052294731140137
17,146.3393801725516,115,0.15033745765686035
18,145.26410998429526,111,0.16760587692260742
19,144.11172453589467,104,0.1653146743774414
20,142.7446409467666,114,0.18622541427612305
21,141.85065706698185,103,0.18525409698486328
22,140.67490956566053,106,0.1912064552307129
23,139.2186528605675,102,0.1953275203704834
24,138.44074677052842,102,0.20002222061157227
25,137.16416657397042,104,0.21680736541748047
26,136.18883771088997,103,0.22086048126220703
27,135.4136257822652,100,0.22045612335205078
28,134.0436106040963,100,0.2496645450592041
29,132.74753893220247,101,0.24989771842956543
30,131.6026779411502,100,0.2501974105834961
31,130.80862886116722,100,0.26552271842956543
32,129.6375834775731,100,0.26001572608947754
33,128.32102174820423,100,0.2930886745452881
34,127.30374346100662,100,0.2935826778411865
35,126.4174515700185,100,0.29635095596313477
36,125.31493398175243,100,0.30123472213745117
37,124.17593590413512,100,0.3207221031188965
38,123.33611458106014,100,0.3138890266418457
39,122.20420327426413,100,0.33623266220092773
40,121.24433656000514,100,0.33379507064819336
41,120.21274731563022,100,0.3430325984954834
42,118.79376875070518,100,0.3388645648956299
43,118.22184064762214,100,0.35609960556030273
44,117.05892253942758,100,0.37098240852355957
45,116.19437360730177,100,0.37342238426208496
46,114.68884926746661,100,0.3806571960449219
47,113.9800387478973,100,0.38716650009155273
48,112.92991788338028,100,0.3887655735015869
49,112.31014969278735,100,0.3998582363128662
50,111.06045097173012,100,0.4003305435180664
