K,MSE,ITERATIONS,EXECUTION TIME
2,6.92809222042623e-05,552,0.1560509204864502
3,5.90965288751466e-05,557,0.19899487495422363
4,5.65077148129145e-05,578,0.2514224052429199
5,5.4647603078161744e-05,608,0.3154757022857666
6,5.301018718051331e-05,586,0.3740236759185791
7,5.166421059965565e-05,597,0.42825841903686523
8,5.005300113747335e-05,640,0.4974639415740967
9,4.904047658127464e-05,561,0.5352096557617188
10,4.794239585248494e-05,598,0.5895650386810303
11,4.7066545757146194e-05,600,0.6331126689910889
12,4.642695198742164e-05,584,0.701732873916626
13,4.511102196536054e-05,568,0.7562670707702637
14,4.4767098484777e-05,533,0.7840821743011475
15,4.4021583453512925e-05,515,0.8337247371673584
16,4.3342887436681465e-05,512,0.8893275260925293
17,4.267515784928122e-05,499,0.9258918762207031
18,4.21924376605709e-05,491,0.9834184646606445
19,4.148191998543105e-05,487,1.0488965511322021
20,4.0575957767741144e-05,461,1.093496561050415
21,4.028758894969453e-05,475,1.150587797164917
22,3.9719526292114615e-05,466,1.1830670833587646
23,3.913567806068663e-05,443,1.2401835918426514
24,3.873096511830543e-05,431,1.3246970176696777
25,3.832828124283871e-05,419,1.3584485054016113
26,3.793328706591659e-05,398,1.4000732898712158
27,3.698006236863005e-05,413,1.4498786926269531
28,3.661567543522537e-05,374,1.5000584125518799
29,3.639813121880664e-05,376,1.5341625213623047
30,3.618030890539803e-05,384,1.5818071365356445
31,3.553728960303815e-05,353,1.6244196891784668
32,3.508545367547633e-05,372,1.6906745433807373
33,3.43280350438846e-05,350,1.7409639358520508
34,3.383318924843337e-05,341,1.775728464126587
35,3.365816207923089e-05,325,1.824159860610962
36,3.346558109695863e-05,306,1.8510408401489258
37,3.281712083402777e-05,318,1.9414703845977783
38,3.272986275426604e-05,308,1.988022804260254
39,3.220968414086034e-05,318,2.043001174926758
40,3.181418113207268e-05,295,2.092250108718872
41,3.148740267544525e-05,296,2.11643123626709
42,3.0782971125797864e-05,292,2.199610471725464
43,3.0624609649532175e-05,277,2.2411749362945557
44,3.01459392288983e-05,258,2.308790445327759
45,2.9857618098483307e-05,268,2.3424391746520996
46,2.9659818354343948e-05,248,2.3858835697174072
47,2.910871483796651e-05,245,2.4303226470947266
48,2.8666316772785194e-05,230,2.443443536758423
49,2.8521886716981193e-05,237,2.491156578063965
50,2.8030184208494013e-05,226,2.5590803623199463
