K,MSE,ITERATIONS,EXECUTION TIME
2,161.5037145278937,178,0.06603169441223145
3,160.48012120243607,177,0.06903243064880371
4,159.46473247768552,176,0.07404899597167969
5,158.45380626705645,175,0.0787820816040039
6,157.4439450971198,174,0.08109712600708008
7,156.445118145844,173,0.08704733848571777
8,155.44606261261725,172,0.08755755424499512
9,154.44922087992478,171,0.0917196273803711
10,153.45694582854324,170,0.10079455375671387
11,152.46492701666398,169,0.1010441780090332
12,151.47724604684305,168,0.10322332382202148
13,150.4928673808382,167,0.10693073272705078
14,149.5081394759634,166,0.11208987236022949
15,148.52484500686026,165,0.11405205726623535
16,147.5418488135797,164,0.11807847023010254
17,146.56027593670632,163,0.11755752563476562
18,145.58128168233333,162,0.12455177307128906
19,144.60138987415434,161,0.12536239624023438
20,143.6222988205608,160,0.12873506546020508
21,142.643931970272,159,0.12956619262695312
22,141.66585434134964,158,0.13401031494140625
23,140.68636293897796,157,0.13890790939331055
24,139.70750656200522,156,0.14013957977294922
25,138.73463420519195,155,0.1435835361480713
26,137.76200175819855,154,0.14312171936035156
27,136.79107936374595,153,0.15008282661437988
28,135.81922473608586,152,0.15342307090759277
29,134.84880430002414,151,0.15478229522705078
30,133.87935488618152,150,0.1556870937347412
31,132.90908859919574,149,0.16059398651123047
32,131.9361691295976,148,0.1616530418395996
33,130.96740652886916,147,0.16110515594482422
34,129.9971535349834,146,0.1653883457183838
35,129.02744307233908,145,0.1685924530029297
36,128.05626103976627,144,0.17162609100341797
37,127.08736465960243,143,0.1718747615814209
38,126.11819295049544,142,0.17394733428955078
39,125.14947724804733,141,0.175581693649292
40,124.17893603657102,140,0.17909622192382812
41,123.20982562540682,139,0.1806032657623291
42,122.24172402630306,138,0.18220067024230957
43,121.27214044732922,137,0.18409061431884766
44,120.29993333529907,136,0.18633604049682617
45,119.32628567424251,135,0.1866626739501953
46,118.3503282833471,134,0.1910855770111084
47,117.37343497308875,133,0.19285988807678223
48,116.39452195404073,132,0.19215083122253418
49,115.41597019318365,131,0.19388484954833984
50,114.43499204453755,130,0.19967174530029297
