K,MSE,ITERATIONS,EXECUTION TIME
2,6.92809222042623e-05,730,0.09493565559387207
3,5.912165863808383e-05,660,0.08093500137329102
4,5.652011333634466e-05,304,0.05448150634765625
5,5.474583874953698e-05,265,0.0542759895324707
6,5.311343413993974e-05,190,0.05837893486022949
7,5.1657380463865366e-05,150,0.05037236213684082
8,5.0550977913510486e-05,154,0.05043911933898926
9,4.9188010374345836e-05,152,0.051357269287109375
10,4.805004389452083e-05,146,0.05048704147338867
11,4.681156649277707e-05,162,0.06806087493896484
12,4.577252597504078e-05,117,0.05436515808105469
13,4.4800772164510505e-05,117,0.060903072357177734
14,4.398909395408879e-05,113,0.059874773025512695
15,4.338173180251648e-05,112,0.061842918395996094
16,4.2791970580990935e-05,103,0.06446695327758789
17,4.221900854672889e-05,108,0.0674448013305664
18,4.164905429626664e-05,102,0.0680994987487793
19,4.1105513762573764e-05,107,0.0726168155670166
20,4.0576029978978134e-05,105,0.07974529266357422
21,4.0094966060610915e-05,101,0.07687067985534668
22,3.954312232667956e-05,103,0.08262848854064941
23,3.9062094575159634e-05,104,0.08217787742614746
24,3.859006943085497e-05,102,0.08936786651611328
25,3.8128380462132405e-05,104,0.08539247512817383
26,3.765907072061925e-05,100,0.09060096740722656
27,3.721106199838786e-05,100,0.09411454200744629
28,3.678937398732263e-05,102,0.09693264961242676
29,3.637124195421393e-05,100,0.10068416595458984
30,3.595412155110722e-05,102,0.10134673118591309
31,3.5547784060341314e-05,102,0.10553193092346191
32,3.513736957116986e-05,102,0.1053018569946289
33,3.473272107012981e-05,100,0.11132645606994629
34,3.433331003543927e-05,102,0.11431169509887695
35,3.394048610061429e-05,100,0.11093354225158691
36,3.355065494603515e-05,100,0.11594605445861816
37,3.317089171084309e-05,100,0.12454509735107422
38,3.279671946465612e-05,101,0.12004351615905762
39,3.2433320677927036e-05,101,0.1233513355255127
40,3.207197879850909e-05,102,0.12428402900695801
41,3.170920919093323e-05,100,0.13198328018188477
42,3.1357539529874856e-05,102,0.12468481063842773
43,3.1002682736813725e-05,100,0.13531899452209473
44,3.0657541672196587e-05,102,0.13550162315368652
45,3.0320221542701198e-05,101,0.13869357109069824
46,2.999084308719091e-05,105,0.13195538520812988
47,2.9648880193855476e-05,105,0.15039920806884766
48,2.9319995934584675e-05,106,0.1448686122894287
49,2.898926108285682e-05,101,0.14722394943237305
50,2.8627280508564112e-05,102,0.13621211051940918
