K,MSE,ITERATIONS,EXECUTION TIME
2,6.92809222042623e-05,537,0.07428956031799316
3,5.90965288751466e-05,590,0.08361959457397461
4,5.650042536520239e-05,618,0.10148358345031738
5,5.4655220419475015e-05,600,0.10780811309814453
6,5.3040544971461046e-05,610,0.12544727325439453
7,5.163752927372922e-05,653,0.15126562118530273
8,5.038646902355559e-05,636,0.1568160057067871
9,4.904687152706977e-05,610,0.16780352592468262
10,4.798683894424727e-05,603,0.17394638061523438
11,4.732839910459585e-05,595,0.20650434494018555
12,4.6439065125136736e-05,589,0.20925521850585938
13,4.527893196237809e-05,572,0.21641898155212402
14,4.4900188333696356e-05,553,0.23311901092529297
15,4.3944083402136513e-05,564,0.23956847190856934
16,4.3359447018054276e-05,536,0.2505345344543457
17,4.262191849335739e-05,521,0.2601478099822998
18,4.2218327819143475e-05,469,0.2560744285583496
19,4.1259285754380315e-05,504,0.2750670909881592
20,4.094260977416386e-05,481,0.28484487533569336
21,4.039334179262166e-05,465,0.283954381942749
22,4.004152178149756e-05,486,0.32596254348754883
23,3.902815187706299e-05,467,0.32155370712280273
24,3.921889155211744e-05,440,0.3234424591064453
25,3.8688616321391756e-05,451,0.3521273136138916
26,3.797817740036624e-05,408,0.3400890827178955
27,3.716036394108002e-05,426,0.35732555389404297
28,3.710480614549372e-05,397,0.3596675395965576
29,3.651720199693287e-05,375,0.35975122451782227
30,3.614779263971801e-05,377,0.3697230815887451
31,3.589521961144815e-05,375,0.3951594829559326
32,3.528457526280615e-05,352,0.38751888275146484
33,3.497633344029527e-05,366,0.4089772701263428
34,3.423418254888677e-05,341,0.40034008026123047
35,3.4347284890934304e-05,327,0.4077272415161133
36,3.38539660138526e-05,326,0.416548490524292
37,3.3368558877922005e-05,325,0.41638755798339844
38,3.311117618820525e-05,308,0.42464494705200195
39,3.199778824158894e-05,277,0.4227886199951172
40,3.240131791693024e-05,314,0.4547274112701416
41,3.141105079274009e-05,280,0.44802212715148926
42,3.1398525275116995e-05,280,0.44083547592163086
43,3.0909011858315516e-05,274,0.4600396156311035
44,3.0554171176255807e-05,272,0.45656776428222656
45,3.012707194893771e-05,273,0.4575493335723877
46,3.0200502972421717e-05,253,0.46796631813049316
47,2.958956684817604e-05,248,0.4739549160003662
48,2.9091975861761377e-05,249,0.49624109268188477
49,2.8799844922988704e-05,251,0.4877903461456299
50,2.8265293976481587e-05,239,0.5151059627532959
