K,MSE,ITERATIONS,EXECUTION TIME
2,28.94932780222034,529,0.07166242599487305
3,25.038852635114587,626,0.0997927188873291
4,24.029457444032893,645,0.10506367683410645
5,23.283258754578437,600,0.11539220809936523
6,22.595449495740418,643,0.14090466499328613
7,22.002083475043573,643,0.1436634063720703
8,21.49228841476755,564,0.16267085075378418
9,21.192773774877523,570,0.16307711601257324
10,20.714887341503086,573,0.1843400001525879
11,20.19921122148775,595,0.1928255558013916
12,19.939725566480078,562,0.21975255012512207
13,19.671266649920824,561,0.23096537590026855
14,19.359240212046885,533,0.22896409034729004
15,19.148947984490604,525,0.25148701667785645
16,18.810251766919126,506,0.25048828125
17,18.472024856660013,532,0.2754552364349365
18,18.33416844443417,504,0.2803030014038086
19,18.05176498352707,508,0.2950167655944824
20,17.746043620183173,466,0.28971433639526367
21,17.608995717323968,446,0.3000023365020752
22,17.367868976266305,466,0.3150787353515625
23,17.199645267957983,447,0.3111865520477295
24,16.7841718864143,409,0.3189394474029541
25,16.630631109151565,426,0.3300485610961914
26,16.424893593306706,394,0.3412172794342041
27,16.244019982299893,376,0.3385763168334961
28,16.135947436766305,365,0.34275102615356445
29,15.839859598657403,347,0.35561490058898926
30,15.75338274924777,377,0.3718438148498535
31,15.682528405108643,360,0.3734912872314453
32,15.326574438853907,319,0.3649716377258301
33,15.326710658056394,334,0.3694732189178467
34,15.046113566158471,333,0.3955249786376953
35,14.834958738181452,306,0.38451051712036133
36,14.666799271828118,303,0.3953738212585449
37,14.481685006138793,306,0.4011235237121582
38,14.406400989508715,300,0.4098830223083496
39,13.924038638455908,273,0.4132575988769531
40,13.968659854960388,282,0.4193532466888428
41,13.841872170993884,270,0.43314266204833984
42,13.705980020088514,276,0.4342992305755615
43,13.608525966674318,252,0.4451117515563965
44,13.35203594638342,253,0.4487800598144531
45,13.270038559070576,240,0.4625279903411865
46,13.150365649665035,245,0.47138547897338867
47,12.831517934128936,245,0.4698762893676758
48,12.80366495825988,228,0.4804224967956543
49,12.6160307184231,227,0.4832942485809326
50,12.448964651665621,203,0.47650814056396484
