K,MSE,ITERATIONS,EXECUTION TIME
2,10378.67194012972,1138,0.15208077430725098
3,8594.477192357352,1760,0.19136309623718262
4,7905.8031098024085,1096,0.13909363746643066
5,7274.314076709097,1152,0.16673564910888672
6,6778.225857310584,1277,0.20113468170166016
7,6394.780128664383,999,0.17328667640686035
8,6036.548308535213,914,0.16838669776916504
9,5717.923758345681,917,0.19075918197631836
10,5465.716879494845,756,0.16600704193115234
11,5225.671071081027,739,0.2005443572998047
12,5012.218456361756,684,0.18363690376281738
13,4799.479742808295,683,0.199920654296875
14,4595.02704855642,701,0.20467734336853027
15,4440.792918868291,592,0.20345306396484375
16,4304.104298628958,578,0.20635414123535156
17,4168.715253466962,542,0.20207953453063965
18,4037.1510395583723,489,0.19987845420837402
19,3914.522553486351,421,0.18929362297058105
20,3802.5666998615707,404,0.1932837963104248
21,3700.3405458564903,367,0.19144511222839355
22,3601.031350264755,365,0.19031119346618652
23,3504.140944321852,363,0.19366860389709473
24,3417.404967407211,362,0.20665454864501953
25,3334.9093141986723,360,0.20675921440124512
26,3259.8800351654513,348,0.21686172485351562
27,3185.8179387517744,348,0.2163100242614746
28,3115.0114982180253,331,0.21666193008422852
29,3052.070305416885,298,0.20181798934936523
30,2989.6577662982754,298,0.2154829502105713
31,2930.1555296423485,297,0.24001598358154297
32,2870.770918282016,290,0.22223258018493652
33,2811.5437316656053,289,0.23732876777648926
34,2753.3846315287215,259,0.2279055118560791
35,2695.375264111921,256,0.23618745803833008
36,2637.8194064225945,255,0.23212265968322754
37,2580.6215549061253,248,0.22760701179504395
38,2523.4583509608347,237,0.24270224571228027
39,2472.320552923986,236,0.23662352561950684
40,2421.7867402336046,235,0.2552626132965088
41,2371.579675601513,227,0.24370479583740234
42,2321.8939793953223,225,0.25101566314697266
43,2273.3630696098335,220,0.24622702598571777
44,2226.274497726563,218,0.25217127799987793
45,2180.354643026805,216,0.259166955947876
46,2134.4787561997064,211,0.2520928382873535
47,2093.299296714874,210,0.2600264549255371
48,2052.6522089285972,209,0.262876033782959
49,2012.208042135858,201,0.2575194835662842
50,1964.9329196361334,202,0.27385616302490234
