K,MSE,ITERATIONS,EXECUTION TIME
2,10378.67194012972,653,0.08764338493347168
3,8594.477192357352,984,0.1189427375793457
4,7905.8031098024085,561,0.0918726921081543
5,7274.314076709097,628,0.09772944450378418
6,6778.225857310584,683,0.11256575584411621
7,6399.323416762856,510,0.09745287895202637
8,6059.16080602918,436,0.10228896141052246
9,5722.2885612363925,501,0.11281967163085938
10,5476.916513906022,350,0.10381174087524414
11,5252.84074731863,330,0.0922243595123291
12,5039.388132599359,313,0.1082448959350586
13,4828.43056151382,325,0.10154914855957031
14,4620.183568108787,301,0.10465097427368164
15,4472.191117322929,253,0.1013491153717041
16,4321.641823950206,229,0.10067868232727051
17,4187.269444713567,225,0.08644795417785645
18,4067.579648061158,188,0.09670424461364746
19,3951.1138976205457,197,0.1284806728363037
20,3836.0229367200463,195,0.10368108749389648
21,3733.796782714966,190,0.10935401916503906
22,3634.4875871232302,187,0.11303162574768066
23,3538.306340174494,194,0.1062922477722168
24,3454.6511444228963,182,0.11664652824401855
25,3368.4164057820117,176,0.12329936027526855
26,3293.387126748791,174,0.13188672065734863
27,3224.637974180073,180,0.12214493751525879
28,3152.630244874419,161,0.1217951774597168
29,3087.9569866779257,140,0.12362074851989746
30,3025.5444475593163,147,0.11929798126220703
31,2963.3136838016844,138,0.11531710624694824
32,2902.0955957264296,143,0.1355597972869873
33,2842.7109843660974,148,0.13121438026428223
34,2784.275689665646,148,0.13325262069702148
35,2726.710690791788,160,0.14708423614501953
36,2669.547486846497,142,0.15601181983947754
37,2613.6303299564775,135,0.13247108459472656
38,2556.4797947978054,139,0.17935657501220703
39,2502.105073687483,140,0.1585237979888916
40,2450.958558921168,131,0.14758753776550293
41,2400.523217802707,143,0.16735315322875977
42,2350.3342479822195,130,0.1539900302886963
43,2301.0563421554534,126,0.1636343002319336
44,2252.5254323699646,132,0.14356660842895508
45,2206.605577670207,140,0.19758367538452148
46,2160.9363618123116,126,0.16059160232543945
47,2119.1380933785404,128,0.16643381118774414
48,2077.8670297963668,130,0.1591193675994873
49,2037.4228630036278,126,0.1657567024230957
50,1990.1477405039034,125,0.1735846996307373
