K,MSE,ITERATIONS,EXECUTION TIME
2,10378.67194012972,452,0.14644074440002441
3,8594.477192357352,947,0.23044872283935547
4,7901.265003891869,748,0.27357912063598633
5,7259.870430939585,810,0.3359813690185547
6,6758.375473278458,771,0.3872966766357422
7,6369.626184513112,726,0.4413449764251709
8,6097.014326081154,702,0.4931187629699707
9,5785.8703314133745,796,0.553565263748169
10,5499.173883001873,735,0.6265888214111328
11,5316.307820131237,819,0.6844272613525391
12,5096.923601584836,808,0.7238640785217285
13,4909.4980725483565,758,0.7934086322784424
14,4716.49322855384,748,0.8733518123626709
15,4536.649967716408,742,0.9332470893859863
16,4361.883946072272,737,0.9662289619445801
17,4352.357198552852,721,0.9847469329833984
18,4213.280840608766,732,1.0696778297424316
19,4039.3851373753455,639,1.087965726852417
20,3961.0034548686313,670,1.1758711338043213
21,3803.7983569837556,654,1.2253377437591553
22,3759.4173257862176,656,1.2658617496490479
23,3698.1397402701505,636,1.2908978462219238
24,3628.125116130811,608,1.350163221359253
25,3502.349010018011,620,1.4157414436340332
26,3483.215152119861,665,1.4835619926452637
27,3335.7753260215095,593,1.5259654521942139
28,3240.859747377617,620,1.590754747390747
29,3223.6370005752083,557,1.608851671218872
30,3153.3825855273717,562,1.6456365585327148
31,3098.1464143219036,566,1.7161965370178223
32,3051.3288307961056,548,1.811478614807129
33,2912.0267131583887,540,1.8847663402557373
34,2933.347130587799,531,1.9377987384796143
35,2868.3460063378725,524,1.983177900314331
36,2769.2929477526295,511,2.0087265968322754
37,2756.8510776251596,531,2.04086971282959
38,2713.205241437454,506,2.162569761276245
39,2594.9408851945673,507,2.1785199642181396
40,2606.4466744640076,496,2.2844908237457275
41,2571.2887716086716,481,2.2962276935577393
42,2451.3215594974754,475,2.3841309547424316
43,2404.6429143435757,471,2.409141778945923
44,2444.0507087597944,458,2.415006637573242
45,2342.9863639320242,459,2.442312479019165
46,2341.7169934581434,470,2.534031629562378
47,2264.393598557337,446,2.542022228240967
48,2251.7668673968797,418,2.5892364978790283
49,2187.9221793388097,442,2.669064998626709
50,2135.0309692294645,463,2.7408957481384277
