K,MSE,ITERATIONS,EXECUTION TIME
2,10378.67194012972,492,0.06713366508483887
3,8594.477192357352,949,0.12553119659423828
4,7895.862844546974,849,0.12929773330688477
5,7257.140096927427,753,0.12794184684753418
6,6777.928463291217,854,0.15123438835144043
7,6440.837690420369,848,0.18721675872802734
8,6129.578062364437,885,0.2002403736114502
9,5875.130208817043,884,0.21805524826049805
10,5588.491649611326,855,0.23107504844665527
11,5328.370681423226,882,0.24874114990234375
12,5118.377843552666,879,0.2676546573638916
13,5027.054725922644,846,0.273573637008667
14,4838.390139660838,831,0.3075437545776367
15,4689.089434787722,846,0.3264353275299072
16,4537.697148005709,813,0.3313148021697998
17,4387.821733836218,763,0.32463550567626953
18,4078.5901693125015,788,0.36102724075317383
19,4206.976944184169,727,0.35605478286743164
20,4141.107331047987,738,0.3682088851928711
21,3934.990916922829,719,0.3888251781463623
22,3954.746253890713,742,0.4080502986907959
23,3835.7565617257737,719,0.409954309463501
24,3688.9850173841396,710,0.4328644275665283
25,3586.458333330915,740,0.46100568771362305
26,3597.1701147295994,682,0.45912837982177734
27,3504.547868685344,678,0.4586317539215088
28,3389.683888616916,651,0.4635331630706787
29,3394.5232722046185,655,0.46082472801208496
30,3311.7587558993728,605,0.484957218170166
31,3149.295448237386,672,0.5141851902008057
32,3164.1673138496376,613,0.5076019763946533
33,3081.7883989157076,639,0.5253307819366455
34,3021.2577780973556,604,0.5410091876983643
35,2933.566363313031,607,0.5412261486053467
36,2903.5999074771507,606,0.5583231449127197
37,2871.7663859384647,565,0.550128698348999
38,2881.53940522244,572,0.563495397567749
39,2820.073065430497,546,0.5607423782348633
40,2706.319162369574,559,0.5843243598937988
41,2704.2291421371324,523,0.591428279876709
42,2690.6999351169816,517,0.5752568244934082
43,2614.1821668724306,504,0.6001124382019043
44,2567.4823553138276,512,0.6246047019958496
45,2532.766435802065,503,0.6425063610076904
46,2502.007192175087,498,0.6365466117858887
47,2447.3156811095614,491,0.6453967094421387
48,2440.421596980541,460,0.6666808128356934
49,2405.378960311621,491,0.6618592739105225
50,2344.7490533505706,504,0.6996386051177979
