K,MSE,ITERATIONS,EXECUTION TIME
2,84.27134600556792,1283,0.17424917221069336
3,69.4143884429958,1535,0.1814899444580078
4,65.43631543726376,1127,0.14973020553588867
5,62.44939347688316,1067,0.1625685691833496
6,59.489546169591165,871,0.14966964721679688
7,57.15654528357503,728,0.14213085174560547
8,54.960525379830116,594,0.13112401962280273
9,53.049987996764486,546,0.1374678611755371
10,51.40120232368447,512,0.14158058166503906
11,49.81223251857682,485,0.14557385444641113
12,48.18997324096481,490,0.15707707405090332
13,46.692909806829036,417,0.14696788787841797
14,45.49415683282513,357,0.1548140048980713
15,44.41624565688727,354,0.14822840690612793
16,43.393582440680795,343,0.14982962608337402
17,42.38235765352055,334,0.15779781341552734
18,41.37330820527339,321,0.15612220764160156
19,40.412309787525565,318,0.17102336883544922
20,39.453927720972274,319,0.17390036582946777
21,38.51006958766429,314,0.18219399452209473
22,37.57147043739509,302,0.17845797538757324
23,36.6672115369155,292,0.18275880813598633
24,35.84054989721298,281,0.18927860260009766
25,35.05963707281927,280,0.18837213516235352
26,34.37189395638484,280,0.19484424591064453
27,33.64866531301513,272,0.1982119083404541
28,32.96484353995194,254,0.19600152969360352
29,32.29254617892254,249,0.2049098014831543
30,31.693825840015922,244,0.19543862342834473
31,31.10838777238687,243,0.2167952060699463
32,30.57151086823543,226,0.20084738731384277
33,30.037524121184614,223,0.2221825122833252
34,29.532205259987542,222,0.21759438514709473
35,29.032698006723194,217,0.21531248092651367
36,28.535082089091567,208,0.2176520824432373
37,28.05456375393765,200,0.2187361717224121
38,27.57427394492505,198,0.22296476364135742
39,27.12875372402592,192,0.22025418281555176
40,26.69156294215744,195,0.22937870025634766
41,26.255940249685462,193,0.2362840175628662
42,25.828875983910017,194,0.23361778259277344
43,25.406977382005866,193,0.24476003646850586
44,25.00106034416941,192,0.2540743350982666
45,24.60068106152132,190,0.24956393241882324
46,24.221480297487282,189,0.24326157569885254
47,23.84767880256647,188,0.24943900108337402
48,23.478768406628213,189,0.25536489486694336
49,23.103910681498885,188,0.26584339141845703
50,22.742647917131862,187,0.25554370880126953
