K,MSE,ITERATIONS,EXECUTION TIME
2,84.28212857959716,726,0.0941781997680664
3,69.4143884429958,736,0.0903317928314209
4,65.44038823500765,596,0.08400130271911621
5,62.48834750937922,502,0.08237075805664062
6,59.570572426603405,444,0.0786137580871582
7,57.23757154058727,378,0.08668088912963867
8,54.922984980455624,317,0.07426762580871582
9,52.99562226929069,310,0.07731008529663086
10,51.266689054797936,281,0.07723498344421387
11,49.737736655734416,275,0.08287572860717773
12,48.18181893804929,228,0.07927131652832031
13,46.752206931127645,202,0.07705807685852051
14,45.55345395712375,193,0.07764387130737305
15,44.368755110564834,186,0.0805816650390625
16,43.289087449532516,181,0.08546972274780273
17,42.27941513813937,176,0.08819866180419922
18,41.22941635463286,174,0.0879981517791748
19,40.05330458929831,168,0.08603763580322266
20,39.10944645599033,162,0.09824681282043457
21,38.28654571556527,170,0.09998130798339844
22,37.46310155688846,152,0.08334732055664062
23,36.52450240661926,144,0.10002875328063965
24,35.72863780954937,150,0.11475539207458496
25,35.019118177233274,143,0.10302567481994629
26,34.33942742149334,135,0.1021432876586914
27,33.72374772308065,131,0.11281871795654297
28,33.04711619833155,131,0.10514259338378906
29,32.45592503668217,132,0.10898375511169434
30,31.828503957196833,124,0.10859918594360352
31,31.26132794316429,123,0.11738348007202148
32,30.695893286960985,116,0.11425280570983887
33,30.148608624755,125,0.1121530532836914
34,29.649101371490655,121,0.11980223655700684
35,29.143782510293576,118,0.11835527420043945
36,28.645700962822914,114,0.12188029289245605
37,28.165182627668994,115,0.1309044361114502
38,27.705435213636605,110,0.12537407875061035
39,27.257501705081022,120,0.1362600326538086
40,26.80196832455009,119,0.13881301879882812
41,26.361359520702848,111,0.1317439079284668
42,25.9342952549274,114,0.14239764213562012
43,25.512396653023252,121,0.14441823959350586
44,25.107119294697483,120,0.14976000785827637
45,24.70357792788439,117,0.15394234657287598
46,24.308364645354906,115,0.15047883987426758
47,23.924503946260515,115,0.15330791473388672
48,23.55518474615297,113,0.15780329704284668
49,23.18627435021471,117,0.1645512580871582
50,22.811416625085382,117,0.16715669631958008
