K,MSE,ITERATIONS,EXECUTION TIME
2,84.27134600556792,425,0.15050172805786133
3,69.41103641349329,581,0.20037579536437988
4,65.34551208370027,603,0.2568187713623047
5,62.33999539942499,656,0.32138919830322266
6,60.043119093159,660,0.37672901153564453
7,57.609022652757794,676,0.4484426975250244
8,55.56621316211956,669,0.512315034866333
9,53.620359449486216,692,0.5597338676452637
10,51.392437215066266,664,0.6157879829406738
11,49.86692285778457,628,0.6662805080413818
12,48.57416855021118,609,0.7469115257263184
13,47.3992662926353,663,0.8107452392578125
14,46.72974229835296,659,0.8641901016235352
15,44.707336614584285,595,0.898167610168457
16,44.134505040795105,622,0.9642772674560547
17,43.365666656461045,622,1.0282905101776123
18,41.97714149035542,617,1.0944616794586182
19,41.154478391790036,611,1.1272773742675781
20,40.26227556004513,598,1.1446356773376465
21,39.70635153908644,552,1.1866145133972168
22,38.96904052320228,576,1.2675888538360596
23,38.17056981473956,567,1.3190302848815918
24,37.13530640523493,519,1.364891529083252
25,36.367857449081384,531,1.4194369316101074
26,36.121393400718176,524,1.4867665767669678
27,35.790012060736906,501,1.5188555717468262
28,34.771292044655524,499,1.5737409591674805
29,33.90007427349775,487,1.6314241886138916
30,33.465952765663836,458,1.6570873260498047
31,32.79829728097745,503,1.792283296585083
32,32.71825540722374,453,1.8285000324249268
33,31.511838605506362,442,1.8917946815490723
34,31.742223464417318,465,1.9709246158599854
35,30.854245795342862,469,2.0174202919006348
36,30.484517138221776,443,1.9794213771820068
37,29.79349797370216,426,2.0640289783477783
38,29.453629899318287,426,2.16398286819458
39,28.956264268842062,425,2.226701259613037
40,28.18244768515396,404,2.324241876602173
41,27.473631744910435,393,2.3069088459014893
42,27.705490056648493,401,2.406991481781006
43,27.308328510792002,391,2.6701529026031494
44,27.31686750018088,384,2.8146791458129883
45,26.161196153378306,363,2.919635772705078
46,26.085793028387222,375,2.7613306045532227
47,25.151715381245438,377,2.718430280685425
48,24.790413768628024,367,2.6962010860443115
49,24.75121798508068,367,2.97660493850708
50,24.427985305940116,330,2.9581127166748047
