K,MSE,ITERATIONS,EXECUTION TIME
2,110.77170597253087,667,0.09763908386230469
3,94.92350732115858,681,0.0970003604888916
4,90.43706436303852,521,0.09211468696594238
5,86.84122031100875,489,0.08823752403259277
6,83.35337914147318,400,0.07675337791442871
7,80.28233102837655,328,0.08510851860046387
8,77.85738519240334,270,0.08290481567382812
9,75.62642052587624,250,0.07875585556030273
10,73.51672181253541,207,0.08376932144165039
11,71.53491188216017,197,0.07270193099975586
12,69.76125982953484,186,0.07899999618530273
13,67.96732751484325,189,0.08846497535705566
14,66.22690402281899,167,0.08264279365539551
15,64.67483447156658,162,0.08677053451538086
16,63.226185952543844,162,0.09445834159851074
17,61.87740197327052,164,0.09247517585754395
18,60.600141602265296,153,0.09197020530700684
19,59.38841442596366,145,0.09889721870422363
20,58.18001547580462,142,0.09247374534606934
21,57.015822062815204,138,0.09836363792419434
22,55.76911548779276,130,0.09853029251098633
23,54.69575865265422,130,0.09873604774475098
24,53.63262176550824,132,0.11084318161010742
25,52.67125606445414,127,0.10751938819885254
26,51.74878850197108,125,0.11121416091918945
27,50.840986891223466,131,0.11360025405883789
28,49.822907286019216,139,0.11151313781738281
29,48.94090322774905,125,0.12342166900634766
30,48.067107807860026,129,0.1237492561340332
31,47.214495552211766,122,0.13154268264770508
32,46.37451296013208,125,0.1285109519958496
33,45.63677951200194,119,0.12998700141906738
34,44.86350796579658,120,0.1268305778503418
35,44.16161249080831,113,0.12802720069885254
36,43.42725098813106,120,0.12340855598449707
37,42.73394849370225,109,0.14611268043518066
38,42.07055444760546,116,0.13867664337158203
39,41.3369713607092,111,0.1369771957397461
40,40.69243515311109,110,0.1451413631439209
41,40.073588609987056,108,0.137528657913208
42,39.457214554012424,109,0.15654897689819336
43,38.855530671997556,106,0.15202808380126953
44,38.27531734310394,108,0.14603066444396973
45,37.70508074140979,106,0.14821767807006836
46,37.137522029419884,111,0.15945839881896973
47,36.5783951351296,111,0.15279054641723633
48,36.04470670412715,105,0.1663217544555664
49,35.492467480113774,109,0.16101598739624023
50,34.96849248866401,102,0.1720597743988037
