K,MSE,ITERATIONS,EXECUTION TIME
2,110.62908831926457,428,0.06199955940246582
3,94.92682098395028,702,0.1002659797668457
4,90.4716228969798,657,0.10193657875061035
5,86.87835108674534,619,0.11609148979187012
6,83.6390732168482,621,0.1221015453338623
7,80.4453340140488,695,0.15218305587768555
8,78.4334126215371,627,0.15991663932800293
9,76.33718779678475,624,0.17090272903442383
10,73.39013755814858,650,0.17538046836853027
11,71.659301056651,639,0.2084190845489502
12,70.18920745836861,618,0.20940160751342773
13,67.9674037915908,627,0.2251269817352295
14,67.78743194116353,610,0.2447664737701416
15,66.76612764670217,586,0.2571125030517578
16,64.31704947313614,614,0.27175068855285645
17,63.350335960923005,644,0.300248384475708
18,62.386068774005196,593,0.2942054271697998
19,61.21274958680595,558,0.2978990077972412
20,60.240178463178054,591,0.3242166042327881
21,58.023151073374336,576,0.31708240509033203
22,58.37441019482162,539,0.32527971267700195
23,56.62852380860164,535,0.3352625370025635
24,56.318099155157356,542,0.3560142517089844
25,54.98211137673894,513,0.34974169731140137
26,54.22318558986758,532,0.37662720680236816
27,52.82239033496697,479,0.36571621894836426
28,52.09942083656586,498,0.3810081481933594
29,51.510038822070555,480,0.40132641792297363
30,50.407809462246405,466,0.39965248107910156
31,49.40900960385081,461,0.40262937545776367
32,49.888868281786515,464,0.43884992599487305
33,49.325704600655634,468,0.4587361812591553
34,48.446204664203336,434,0.4413590431213379
35,47.107886203023455,444,0.4661414623260498
36,46.10680396082512,421,0.45902419090270996
37,46.379880045914014,432,0.4743208885192871
38,45.62587475536907,426,0.47515130043029785
39,44.30611810301299,404,0.465700626373291
40,43.70833568422459,378,0.4833354949951172
41,43.18632127007022,387,0.5016717910766602
42,42.66090904671369,384,0.5165486335754395
43,41.742290948625936,378,0.5220668315887451
44,41.487321592609376,373,0.5291910171508789
45,41.14579934379112,392,0.5414891242980957
46,40.36835838824092,361,0.539351224899292
47,39.82275160867278,359,0.5334835052490234
48,39.3918514766228,334,0.5506753921508789
49,38.862582909106564,351,0.5566108226776123
50,38.38597408147532,316,0.5498502254486084
