K,MSE,ITERATIONS,EXECUTION TIME
2,2.1548883022193266e-05,884,0.17925691604614258
3,1.6345567747877432e-05,530,0.20605039596557617
4,1.494831056103596e-05,733,0.26998424530029297
5,1.404835979834651e-05,703,0.33380842208862305
6,1.3272587233159605e-05,719,0.3838334083557129
7,1.2612711801196497e-05,661,0.4412355422973633
8,1.1982866564674843e-05,772,0.5069420337677002
9,1.1485475898465047e-05,714,0.5594120025634766
10,1.1116790994414316e-05,786,0.6232986450195312
11,1.050887352194163e-05,703,0.6666519641876221
12,1.0153233702459019e-05,791,0.7333159446716309
13,9.863064982185143e-06,724,0.7500848770141602
14,9.602052712276432e-06,697,0.8244345188140869
15,9.183875408824704e-06,664,0.8663625717163086
16,8.902321491977006e-06,696,0.9257748126983643
17,8.761690832193025e-06,685,0.9908137321472168
18,8.385192426518806e-06,634,1.0257911682128906
19,8.27466680031197e-06,657,1.1001968383789062
20,8.16591055541327e-06,604,1.134474277496338
21,7.80698455837836e-06,593,1.173614263534546
22,7.481990594970789e-06,610,1.2693936824798584
23,7.4126120279682794e-06,620,1.3430566787719727
24,7.397782256002294e-06,579,1.3596577644348145
25,7.221033535342869e-06,580,1.4342656135559082
26,7.033044874815708e-06,546,1.485029697418213
27,6.888042785924142e-06,566,1.535942554473877
28,6.751497412027518e-06,570,1.5745375156402588
29,6.700238068257924e-06,556,1.666496753692627
30,6.4062887935589785e-06,533,1.6916368007659912
31,6.342490446065163e-06,549,1.7079648971557617
32,6.253849940240919e-06,538,1.7238795757293701
33,6.11884059731338e-06,503,1.784820318222046
34,6.079089713506569e-06,495,1.905989408493042
35,5.844139378319291e-06,488,1.9162876605987549
36,5.77521790801061e-06,470,1.9411556720733643
37,5.748113396375487e-06,457,1.9868831634521484
38,5.635955559912809e-06,487,2.104731321334839
39,5.5093607620460006e-06,465,2.1655871868133545
40,5.405018636994718e-06,467,2.157872200012207
41,5.294680778922256e-06,452,2.1980783939361572
42,5.247122408791327e-06,436,2.27303409576416
43,5.17961049784077e-06,481,2.3387057781219482
44,5.031792486009934e-06,428,2.387852907180786
45,4.995194286872007e-06,430,2.4444942474365234
46,4.799142228062436e-06,416,2.51318621635437
47,4.788858491866499e-06,429,2.6166489124298096
48,4.724603452133103e-06,408,2.6295742988586426
49,4.599369698099487e-06,412,2.6329641342163086
50,4.594171651772783e-06,408,2.6757876873016357
