K,MSE,ITERATIONS,EXECUTION TIME
2,2.1548883022193266e-05,897,0.11350178718566895
3,1.6345567747877432e-05,574,0.08515763282775879
4,1.494831056103596e-05,719,0.1092844009399414
5,1.4067406444051578e-05,779,0.13333892822265625
6,1.3276806492656945e-05,796,0.1496293544769287
7,1.2582838292085619e-05,724,0.155165433883667
8,1.2014859278597356e-05,776,0.17805838584899902
9,1.1428097725252329e-05,782,0.20092439651489258
10,1.0985464642843112e-05,789,0.20782685279846191
11,1.0578950286332933e-05,805,0.24201154708862305
12,1.0160595883990098e-05,762,0.24234366416931152
13,9.893260631277379e-06,787,0.2655618190765381
14,9.559518915236431e-06,755,0.28231310844421387
15,9.160383521944482e-06,739,0.2842373847961426
16,8.937146937837426e-06,774,0.308868408203125
17,8.541019369534553e-06,667,0.3000187873840332
18,8.504807507692114e-06,673,0.30775880813598633
19,8.307990589595526e-06,678,0.33356451988220215
20,8.103895231093006e-06,687,0.3516108989715576
21,7.98047500150112e-06,652,0.35308265686035156
22,7.658861381099058e-06,649,0.36675500869750977
23,7.458094451351371e-06,604,0.37420058250427246
24,7.346239458860815e-06,615,0.38759326934814453
25,7.2098178064416985e-06,644,0.4029207229614258
26,7.213398951821937e-06,605,0.416658878326416
27,7.04732897649496e-06,613,0.42446231842041016
28,6.9008476055731904e-06,586,0.4258430004119873
29,6.778034711940606e-06,574,0.4329240322113037
30,6.5460557795438135e-06,574,0.4578666687011719
31,6.639620232062882e-06,582,0.47617673873901367
32,6.440230389093138e-06,536,0.49829769134521484
33,6.299833516743014e-06,566,0.503690242767334
34,6.108186079156752e-06,529,0.4986417293548584
35,6.022788345494412e-06,552,0.531745433807373
36,5.977644718213604e-06,550,0.5180649757385254
37,5.772080073906949e-06,530,0.5272083282470703
38,5.711008049802402e-06,529,0.5553686618804932
39,5.639991085271134e-06,511,0.5523481369018555
40,5.479453632495357e-06,473,0.549532413482666
41,5.489621022647384e-06,475,0.5638852119445801
42,5.3126820305227085e-06,472,0.5531089305877686
43,5.3019996720804485e-06,471,0.5836923122406006
44,5.148976209401468e-06,484,0.6010284423828125
45,5.120932332181027e-06,462,0.6122851371765137
46,5.153479831321306e-06,449,0.6084702014923096
47,5.0163846231354725e-06,431,0.592780351638794
48,4.941491358545491e-06,451,0.6059620380401611
49,4.793532943470069e-06,435,0.610175609588623
50,4.654719071073288e-06,448,0.6348495483398438
