K,MSE,ITERATIONS,EXECUTION TIME
2,2.1548883022193266e-05,2208,0.2367258071899414
3,1.6345567747877432e-05,1319,0.15362191200256348
4,1.494831056103596e-05,1322,0.1743488311767578
5,1.4046483644891694e-05,1060,0.16417574882507324
6,1.3212935067508091e-05,989,0.16144013404846191
7,1.2554939819886535e-05,943,0.16663432121276855
8,1.1952091082845229e-05,855,0.1741805076599121
9,1.1386061857909802e-05,881,0.17584609985351562
10,1.0823178303587255e-05,779,0.1908111572265625
11,1.0253816402627791e-05,635,0.1670680046081543
12,9.900597602752192e-06,627,0.17931413650512695
13,9.558552683364141e-06,538,0.1745755672454834
14,9.251747182692505e-06,484,0.15485572814941406
15,8.95207675777332e-06,442,0.17853331565856934
16,8.675138722269438e-06,442,0.17891979217529297
17,8.408209403620859e-06,426,0.1758103370666504
18,8.170594323786418e-06,397,0.18330025672912598
19,7.94621172772736e-06,375,0.18347907066345215
20,7.726023128595827e-06,371,0.18323683738708496
21,7.521676810617883e-06,368,0.2000570297241211
22,7.32118363777623e-06,370,0.19380760192871094
23,7.14788810329825e-06,324,0.1729271411895752
24,6.976899247890245e-06,316,0.19240140914916992
25,6.809046379951944e-06,306,0.19595646858215332
26,6.641704620835576e-06,284,0.1960594654083252
27,6.476475666761239e-06,276,0.1912846565246582
28,6.324703327398318e-06,275,0.1997683048248291
29,6.177808705043475e-06,264,0.20335674285888672
30,6.037762283694903e-06,267,0.20652270317077637
31,5.908325476866594e-06,266,0.20902228355407715
32,5.799156920449633e-06,264,0.2166147232055664
33,5.690415448289521e-06,262,0.2332749366760254
34,5.583882086823699e-06,261,0.2249913215637207
35,5.47943223694336e-06,254,0.23403525352478027
36,5.3764248727494746e-06,252,0.24110078811645508
37,5.277487463040131e-06,238,0.2332320213317871
38,5.182533481251639e-06,226,0.2402048110961914
39,5.090225454917885e-06,210,0.22743964195251465
40,5.00061816077757e-06,207,0.23241829872131348
41,4.913129239003666e-06,205,0.23941636085510254
42,4.827791773465151e-06,205,0.23623228073120117
43,4.745724547672303e-06,204,0.24836301803588867
44,4.665910403156559e-06,203,0.24869918823242188
45,4.586788976745915e-06,201,0.25143980979919434
46,4.509186651957542e-06,200,0.25105953216552734
47,4.431777549385174e-06,197,0.2550206184387207
48,4.35937187470703e-06,195,0.2612953186035156
49,4.288526693096983e-06,194,0.24988555908203125
50,4.218881763273785e-06,193,0.274766206741333
