K,MSE,ITERATIONS,EXECUTION TIME
2,2.1548883022193266e-05,1225,0.13334059715270996
3,1.6345567747877432e-05,734,0.09148049354553223
4,1.494831056103596e-05,721,0.0985417366027832
5,1.404835979834651e-05,526,0.08507418632507324
6,1.3214284801943421e-05,518,0.08928132057189941
7,1.2555099829558714e-05,449,0.09265732765197754
8,1.1959616916468185e-05,411,0.08930134773254395
9,1.1420417721508258e-05,433,0.10045051574707031
10,1.0881458822553647e-05,441,0.10788440704345703
11,1.0403920084778306e-05,387,0.10105299949645996
12,9.965710615289503e-06,286,0.0924229621887207
13,9.56774199289967e-06,292,0.09989786148071289
14,9.268071567980485e-06,210,0.09961080551147461
15,9.006639295261465e-06,220,0.08441662788391113
16,8.749827536846944e-06,220,0.09089064598083496
17,8.500128052979505e-06,190,0.09161710739135742
18,8.253919586143077e-06,172,0.08337283134460449
19,8.040276266330082e-06,177,0.09170937538146973
20,7.80142470335754e-06,179,0.10211181640625
21,7.591093710623831e-06,173,0.09783530235290527
22,7.386747392645887e-06,162,0.10011792182922363
23,7.1930455773916435e-06,160,0.10724639892578125
24,7.00469112446811e-06,170,0.10796499252319336
25,6.819485518838597e-06,144,0.10000944137573242
26,6.652143759722229e-06,140,0.10246801376342773
27,6.49872982594335e-06,138,0.10828447341918945
28,6.349599132371431e-06,141,0.11055946350097656
29,6.212736561983512e-06,132,0.09581232070922852
30,6.083299755155203e-06,134,0.11860918998718262
31,5.957405318945952e-06,140,0.11914682388305664
32,5.838356293419444e-06,133,0.11672139167785645
33,5.7291877370024835e-06,129,0.12774968147277832
34,5.62083671185043e-06,130,0.12433290481567383
35,5.518131195647591e-06,128,0.131422758102417
36,5.413335844139944e-06,122,0.13247942924499512
37,5.31361439248812e-06,127,0.13344168663024902
38,5.222084992650977e-06,122,0.13396883010864258
39,5.132591566980871e-06,115,0.1327965259552002
40,5.044643172191776e-06,114,0.1332108974456787
41,4.958954085032552e-06,117,0.133500337600708
42,4.872366789365756e-06,117,0.13063693046569824
43,4.788992728932406e-06,118,0.1546630859375
44,4.706034425927541e-06,111,0.13518643379211426
45,4.622768662199128e-06,111,0.13625383377075195
46,4.541331167229323e-06,114,0.151932954788208
47,4.46138490139969e-06,113,0.1547718048095703
48,4.387812258532797e-06,117,0.15807604789733887
49,4.3104031559604294e-06,116,0.15833830833435059
50,4.2370847918027366e-06,113,0.1599719524383545
