K,MSE,ITERATIONS,EXECUTION TIME
2,84.27134600556792,532,0.059088945388793945
3,69.41110490351409,643,0.06553959846496582
4,65.34551208370027,765,0.10064888000488281
5,62.43628678705694,783,0.08284997940063477
6,59.58718985659738,796,0.11601972579956055
7,57.540534393266704,831,0.13037872314453125
8,54.92429213923971,839,0.13278913497924805
9,53.907283858715026,827,0.12241196632385254
10,52.143699783696505,852,0.14714646339416504
11,50.41274021405388,866,0.19951629638671875
12,48.80325090618301,859,0.18537187576293945
13,47.67099356545879,857,0.20100975036621094
14,46.7463065351393,875,0.2286531925201416
15,45.30749905442611,817,0.22907781600952148
16,44.13146160481221,820,0.2506899833679199
17,43.629056879832234,811,0.2856414318084717
18,41.81209071842834,811,0.24151611328125
19,41.320453158303025,823,0.2351229190826416
20,41.11023323274563,821,0.3057985305786133
21,40.52893806698829,797,0.2847862243652344
22,39.577105550316745,735,0.289747953414917
23,38.727065719607,767,0.28118062019348145
24,37.52765333509228,763,0.2822990417480469
25,36.496780851254286,773,0.2828524112701416
26,36.50511758306435,786,0.27265286445617676
27,36.27920911722805,749,0.30680012702941895
28,35.983822880701766,737,0.33156275749206543
29,35.22040818774404,735,0.2924370765686035
30,33.90086700619378,712,0.33243227005004883
31,33.87459989698912,724,0.44944238662719727
32,33.23319559460077,709,0.40534114837646484
33,33.08345093835202,672,0.3204202651977539
34,32.85552962586551,704,0.437136173248291
35,31.097158668959032,694,0.36656928062438965
36,31.07343294468636,676,0.3381373882293701
37,31.433799805643773,665,0.38235926628112793
38,30.5553612281658,655,0.29346728324890137
39,30.289017466541587,657,0.36078691482543945
40,29.61735733928223,657,0.44072747230529785
41,29.525572761218932,634,0.38580775260925293
42,28.377805122895793,633,0.4215087890625
43,28.17661547735453,642,0.41386938095092773
44,27.779656682081757,626,0.38559579849243164
45,27.167917677932827,627,0.398792028427124
46,27.034494474394617,634,0.4790985584259033
47,27.055299494098115,623,0.48348116874694824
48,25.47736872944948,594,0.4591660499572754
49,26.00708592972025,601,0.4613304138183594
